toponym,date,category_id,area_percentage,category,color
Kouandé,1981_01_01,n001,0,G Extremey Dry,#C00000FF
Péhunco,1981_01_01,n001,0,G Extremey Dry,#C00000FF
Kérou,1981_01_01,n001,0,G Extremey Dry,#C00000FF
Banikoara,1981_01_01,n001,0,G Extremey Dry,#C00000FF
Diapaga,1981_01_01,n001,0,G Extremey Dry,#C00000FF
Tansarga,1981_01_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1981_01_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1981_01_01,n001,0,G Extremey Dry,#C00000FF
Tamou,1981_01_01,n001,0,G Extremey Dry,#C00000FF
Kirtachi,1981_01_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1981_01_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1981_01_01,n001,0,G Extremey Dry,#C00000FF
Kouandé,1981_02_01,n001,0,G Extremey Dry,#C00000FF
Péhunco,1981_02_01,n001,0,G Extremey Dry,#C00000FF
Kérou,1981_02_01,n001,0,G Extremey Dry,#C00000FF
Banikoara,1981_02_01,n001,0,G Extremey Dry,#C00000FF
Diapaga,1981_02_01,n001,0,G Extremey Dry,#C00000FF
Tansarga,1981_02_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1981_02_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1981_02_01,n001,0,G Extremey Dry,#C00000FF
Tamou,1981_02_01,n001,0,G Extremey Dry,#C00000FF
Kirtachi,1981_02_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1981_02_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1981_02_01,n001,0,G Extremey Dry,#C00000FF
Kouandé,1981_03_01,n001,0,G Extremey Dry,#C00000FF
Péhunco,1981_03_01,n001,0,G Extremey Dry,#C00000FF
Kérou,1981_03_01,n001,0,G Extremey Dry,#C00000FF
Banikoara,1981_03_01,n001,0,G Extremey Dry,#C00000FF
Diapaga,1981_03_01,n001,0,G Extremey Dry,#C00000FF
Tansarga,1981_03_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1981_03_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1981_03_01,n001,0,G Extremey Dry,#C00000FF
Tamou,1981_03_01,n001,0,G Extremey Dry,#C00000FF
Kirtachi,1981_03_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1981_03_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1981_03_01,n001,0,G Extremey Dry,#C00000FF
Kouandé,1981_04_01,n001,0,G Extremey Dry,#C00000FF
Péhunco,1981_04_01,n001,0,G Extremey Dry,#C00000FF
Kérou,1981_04_01,n001,0,G Extremey Dry,#C00000FF
Banikoara,1981_04_01,n001,0,G Extremey Dry,#C00000FF
Diapaga,1981_04_01,n001,0,G Extremey Dry,#C00000FF
Tansarga,1981_04_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1981_04_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1981_04_01,n001,0,G Extremey Dry,#C00000FF
Tamou,1981_04_01,n001,0,G Extremey Dry,#C00000FF
Kirtachi,1981_04_01,n001,0,G Extremey Dry,#C00000FF
Falmey,1981_04_01,n001,0,G Extremey Dry,#C00000FF
Karimama,1981_04_01,n001,0,G Extremey Dry,#C00000FF
Kouandé,1981_05_01,n001,0,G Extremey Dry,#C00000FF
Péhunco,1981_05_01,n001,0,G Extremey Dry,#C00000FF
Kérou,1981_05_01,n001,0,G Extremey Dry,#C00000FF
Banikoara,1981_05_01,n001,0,G Extremey Dry,#C00000FF
Diapaga,1981_05_01,n001,0,G Extremey Dry,#C00000FF
Tansarga,1981_05_01,n001,0,G Extremey Dry,#C00000FF
Bottou,1981_05_01,n001,0,G Extremey Dry,#C00000FF
Parc W,1981_05_01,n001,0,G Extremey Dry,#C00000FF
Tamou,1981_05_01,n001,0,G Extremey Dry,#C00000FF
